data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
Cora,per_node_highest_degree,gca,236,1,2,1,1
Cora,per_node_highest_degree,gca,239,3,3,0,0
Cora,per_node_highest_degree,gca,279,4,2,-2,0
Cora,per_node_highest_degree,gca,306,15,9,-6,0
Cora,per_node_highest_degree,gca,310,3,2,-1,0
Cora,per_node_highest_degree,gca,316,1,2,1,1
Cora,per_node_highest_degree,gca,350,2,4,2,1
Cora,per_node_highest_degree,gca,364,1,1,0,0
Cora,per_node_highest_degree,gca,415,6,4,-2,0
Cora,per_node_highest_degree,gca,429,1,1,0,0
Cora,per_node_highest_degree,gca,436,1,1,0,0
Cora,per_node_highest_degree,gca,441,177,263,86,1
Cora,per_node_highest_degree,gca,454,1,1,0,0
Cora,per_node_highest_degree,gca,456,2,5,3,1
Cora,per_node_highest_degree,gca,487,1,1,0,0
Cora,per_node_highest_degree,gca,505,1,1,0,0
Cora,per_node_highest_degree,gca,507,3,3,0,0
Cora,per_node_highest_degree,gca,519,2,2,0,0
Cora,per_node_highest_degree,gca,525,2,1,-1,0
Cora,per_node_highest_degree,gca,565,4,4,0,0
Cora,per_node_highest_degree,gca,577,3,3,0,0
Cora,per_node_highest_degree,gca,598,1,1,0,0
Cora,per_node_highest_degree,gca,645,1,1,0,0
Cora,per_node_highest_degree,gca,657,3,8,5,1
Cora,per_node_highest_degree,gca,661,5,10,5,1
Cora,per_node_highest_degree,gca,687,6,11,5,1
Cora,per_node_highest_degree,gca,733,2,3,1,1
Cora,per_node_highest_degree,gca,734,2,2,0,0
Cora,per_node_highest_degree,gca,736,1,1,0,0
Cora,per_node_highest_degree,gca,748,3,3,0,0
Cora,per_node_highest_degree,gca,756,8,8,0,0
Cora,per_node_highest_degree,gca,963,4,2,-2,0
Cora,per_node_highest_degree,gca,973,1,1,0,0
Cora,per_node_highest_degree,gca,1013,5,7,2,1
Cora,per_node_highest_degree,gca,1015,14,7,-7,0
Cora,per_node_highest_degree,gca,1042,2,2,0,0
Cora,per_node_highest_degree,gca,1050,4,3,-1,0
Cora,per_node_highest_degree,gca,1072,10,5,-5,0
Cora,per_node_highest_degree,gca,1103,4,6,2,1
Cora,per_node_highest_degree,gca,1119,4,4,0,0
Cora,per_node_highest_degree,gca,1131,1,1,0,0
Cora,per_node_highest_degree,gca,1154,2,3,1,1
Cora,per_node_highest_degree,gca,1169,2,1,-1,0
Cora,per_node_highest_degree,gca,1171,4,1,-3,0
Cora,per_node_highest_degree,gca,1224,1,1,0,0
Cora,per_node_highest_degree,gca,1229,2,4,2,1
Cora,per_node_highest_degree,gca,1257,2,3,1,1
Cora,per_node_highest_degree,gca,1309,1,1,0,0
Cora,per_node_highest_degree,gca,1317,2,2,0,0
Cora,per_node_highest_degree,gca,1351,1,1,0,0
Cora,per_node_highest_degree,gca,1358,3,2,-1,0
Cora,per_node_highest_degree,gca,1367,2,21,19,1
Cora,per_node_highest_degree,gca,1413,6,8,2,1
Cora,per_node_highest_degree,gca,1416,1,1,0,0
Cora,per_node_highest_degree,gca,1441,3,4,1,1
Cora,per_node_highest_degree,gca,1483,6,4,-2,0
Cora,per_node_highest_degree,gca,1505,3,2,-1,0
Cora,per_node_highest_degree,gca,1542,3,1,-2,0
Cora,per_node_highest_degree,gca,1583,1,1,0,0
Cora,per_node_highest_degree,gca,1602,1,1,0,0
Cora,per_node_highest_degree,gca,1623,3,1,-2,0
Cora,per_node_highest_degree,gca,1624,1,1,0,0
Cora,per_node_highest_degree,gca,1628,1,1,0,0
Cora,per_node_highest_degree,gca,1655,1,1,0,0
Cora,per_node_highest_degree,gca,1682,1,2,1,1
Cora,per_node_highest_degree,gca,1692,1,1,0,0
Cora,per_node_highest_degree,gca,1701,6,1,-5,0
Cora,per_node_highest_degree,gca,1702,1,8,7,1
Cora,per_node_highest_degree,gca,1703,1,1,0,0
Cora,per_node_highest_degree,gca,1725,1,1,0,0
Cora,per_node_highest_degree,gca,1740,1,2,1,1
Cora,per_node_highest_degree,gca,1742,1,1,0,0
Cora,per_node_highest_degree,gca,1765,1,2,1,1
Cora,per_node_highest_degree,gca,1776,1,1,0,0
Cora,per_node_highest_degree,gca,1810,1,1,0,0
Cora,per_node_highest_degree,gca,1842,1,6,5,1
Cora,per_node_highest_degree,gca,1869,4,1,-3,0
Cora,per_node_highest_degree,gca,1894,1,1,0,0
Cora,per_node_highest_degree,gca,1902,3,5,2,1
Cora,per_node_highest_degree,gca,1912,1,1,0,0
Cora,per_node_highest_degree,gca,1914,1,1,0,0
Cora,per_node_highest_degree,gca,1927,2,1,-1,0
Cora,per_node_highest_degree,gca,1950,9,9,0,0
Cora,per_node_highest_degree,gca,1952,3,3,0,0
Cora,per_node_highest_degree,gca,1966,2,3,1,1
Cora,per_node_highest_degree,gca,1973,1,1,0,0
Cora,per_node_highest_degree,gca,55,1,1,0,0
Cora,per_node_highest_degree,gca,59,1,1,0,0
Cora,per_node_highest_degree,gca,65,1,1,0,0
Cora,per_node_highest_degree,gca,73,3,3,0,0
Cora,per_node_highest_degree,gca,88,1,1,0,0
Cora,per_node_highest_degree,gca,89,7,12,5,1
Cora,per_node_highest_degree,gca,94,2,6,4,1
Cora,per_node_highest_degree,gca,95,1,1,0,0
Cora,per_node_highest_degree,gca,109,38,37,-1,0
Cora,per_node_highest_degree,gca,118,1,4,3,1
Cora,per_node_highest_degree,gca,154,7,6,-1,0
Cora,per_node_highest_degree,gca,180,1,3,2,1
Cora,per_node_highest_degree,gca,210,2,6,4,1
Cora,per_node_highest_degree,gca,218,1,1,0,0
Cora,per_node_highest_degree,gca,236,1,2,1,1
Cora,per_node_highest_degree,gca,239,3,4,1,1
Cora,per_node_highest_degree,gca,279,4,2,-2,0
Cora,per_node_highest_degree,gca,306,15,9,-6,0
Cora,per_node_highest_degree,gca,310,3,1,-2,0
Cora,per_node_highest_degree,gca,316,1,4,3,1
Cora,per_node_highest_degree,gca,350,2,5,3,1
Cora,per_node_highest_degree,gca,364,1,1,0,0
Cora,per_node_highest_degree,gca,415,6,4,-2,0
Cora,per_node_highest_degree,gca,429,1,1,0,0
Cora,per_node_highest_degree,gca,436,1,1,0,0
Cora,per_node_highest_degree,gca,441,177,272,95,1
Cora,per_node_highest_degree,gca,454,1,1,0,0
Cora,per_node_highest_degree,gca,456,2,5,3,1
Cora,per_node_highest_degree,gca,487,1,1,0,0
Cora,per_node_highest_degree,gca,505,1,1,0,0
Cora,per_node_highest_degree,gca,507,3,3,0,0
Cora,per_node_highest_degree,gca,519,2,2,0,0
Cora,per_node_highest_degree,gca,525,2,1,-1,0
Cora,per_node_highest_degree,gca,565,4,4,0,0
Cora,per_node_highest_degree,gca,577,3,3,0,0
Cora,per_node_highest_degree,gca,598,1,1,0,0
Cora,per_node_highest_degree,gca,645,1,1,0,0
Cora,per_node_highest_degree,gca,657,3,7,4,1
Cora,per_node_highest_degree,gca,661,5,9,4,1
Cora,per_node_highest_degree,gca,687,6,14,8,1
Cora,per_node_highest_degree,gca,733,2,3,1,1
Cora,per_node_highest_degree,gca,734,2,2,0,0
Cora,per_node_highest_degree,gca,736,1,2,1,1
Cora,per_node_highest_degree,gca,748,3,2,-1,0
Cora,per_node_highest_degree,gca,756,8,9,1,1
Cora,per_node_highest_degree,gca,963,4,4,0,0
Cora,per_node_highest_degree,gca,973,1,1,0,0
Cora,per_node_highest_degree,gca,1013,5,7,2,1
Cora,per_node_highest_degree,gca,1015,14,7,-7,0
Cora,per_node_highest_degree,gca,1042,2,2,0,0
Cora,per_node_highest_degree,gca,1050,4,4,0,0
Cora,per_node_highest_degree,gca,1072,10,5,-5,0
Cora,per_node_highest_degree,gca,1103,4,5,1,1
Cora,per_node_highest_degree,gca,1119,4,4,0,0
Cora,per_node_highest_degree,gca,1131,1,1,0,0
Cora,per_node_highest_degree,gca,1154,2,2,0,0
Cora,per_node_highest_degree,gca,1169,2,1,-1,0
Cora,per_node_highest_degree,gca,1171,4,5,1,1
Cora,per_node_highest_degree,gca,1224,1,1,0,0
Cora,per_node_highest_degree,gca,1229,2,1,-1,0
Cora,per_node_highest_degree,gca,1257,2,3,1,1
Cora,per_node_highest_degree,gca,1309,1,2,1,1
Cora,per_node_highest_degree,gca,1317,2,2,0,0
Cora,per_node_highest_degree,gca,1351,1,1,0,0
Cora,per_node_highest_degree,gca,1358,3,1,-2,0
Cora,per_node_highest_degree,gca,1367,2,21,19,1
Cora,per_node_highest_degree,gca,1413,6,3,-3,0
Cora,per_node_highest_degree,gca,1416,1,1,0,0
Cora,per_node_highest_degree,gca,1441,3,4,1,1
Cora,per_node_highest_degree,gca,1483,6,3,-3,0
Cora,per_node_highest_degree,gca,1505,3,3,0,0
Cora,per_node_highest_degree,gca,1542,3,1,-2,0
Cora,per_node_highest_degree,gca,1583,1,1,0,0
Cora,per_node_highest_degree,gca,1602,1,1,0,0
Cora,per_node_highest_degree,gca,1623,3,1,-2,0
Cora,per_node_highest_degree,gca,1624,1,1,0,0
Cora,per_node_highest_degree,gca,1628,1,1,0,0
Cora,per_node_highest_degree,gca,1655,1,1,0,0
Cora,per_node_highest_degree,gca,1682,1,2,1,1
Cora,per_node_highest_degree,gca,1692,1,1,0,0
Cora,per_node_highest_degree,gca,1701,6,1,-5,0
Cora,per_node_highest_degree,gca,1702,1,9,8,1
Cora,per_node_highest_degree,gca,1703,1,1,0,0
Cora,per_node_highest_degree,gca,1725,1,1,0,0
Cora,per_node_highest_degree,gca,1740,1,2,1,1
Cora,per_node_highest_degree,gca,1742,1,1,0,0
Cora,per_node_highest_degree,gca,1765,1,2,1,1
Cora,per_node_highest_degree,gca,1776,1,1,0,0
Cora,per_node_highest_degree,gca,1810,1,1,0,0
Cora,per_node_highest_degree,gca,1842,1,5,4,1
Cora,per_node_highest_degree,gca,1869,4,1,-3,0
Cora,per_node_highest_degree,gca,1894,1,1,0,0
Cora,per_node_highest_degree,gca,1902,3,4,1,1
Cora,per_node_highest_degree,gca,1912,1,1,0,0
Cora,per_node_highest_degree,gca,1914,1,1,0,0
Cora,per_node_highest_degree,gca,1927,2,1,-1,0
Cora,per_node_highest_degree,gca,1950,9,9,0,0
Cora,per_node_highest_degree,gca,1952,3,3,0,0
Cora,per_node_highest_degree,gca,1966,2,3,1,1
Cora,per_node_highest_degree,gca,1973,1,1,0,0
Cora,per_node_highest_degree,gca,55,1,1,0,0
Cora,per_node_highest_degree,gca,59,1,1,0,0
Cora,per_node_highest_degree,gca,65,1,1,0,0
Cora,per_node_highest_degree,gca,73,3,3,0,0
Cora,per_node_highest_degree,gca,88,1,1,0,0
Cora,per_node_highest_degree,gca,89,7,11,4,1
Cora,per_node_highest_degree,gca,94,2,8,6,1
Cora,per_node_highest_degree,gca,95,1,1,0,0
Cora,per_node_highest_degree,gca,109,38,37,-1,0
Cora,per_node_highest_degree,gca,118,1,2,1,1
Cora,per_node_highest_degree,gca,154,7,6,-1,0
Cora,per_node_highest_degree,gca,180,1,2,1,1
Cora,per_node_highest_degree,gca,210,2,3,1,1
Cora,per_node_highest_degree,gca,218,1,1,0,0
Cora,per_node_highest_degree,gca,236,1,1,0,0
Cora,per_node_highest_degree,gca,239,3,4,1,1
Cora,per_node_highest_degree,gca,279,4,2,-2,0
Cora,per_node_highest_degree,gca,306,15,9,-6,0
Cora,per_node_highest_degree,gca,310,3,1,-2,0
Cora,per_node_highest_degree,gca,316,1,4,3,1
Cora,per_node_highest_degree,gca,350,2,7,5,1
Cora,per_node_highest_degree,gca,364,1,1,0,0
Cora,per_node_highest_degree,gca,415,6,4,-2,0
Cora,per_node_highest_degree,gca,429,1,1,0,0
Cora,per_node_highest_degree,gca,436,1,1,0,0
Cora,per_node_highest_degree,gca,441,177,256,79,1
Cora,per_node_highest_degree,gca,454,1,1,0,0
Cora,per_node_highest_degree,gca,456,2,5,3,1
Cora,per_node_highest_degree,gca,487,1,1,0,0
Cora,per_node_highest_degree,gca,505,1,3,2,1
Cora,per_node_highest_degree,gca,507,3,5,2,1
Cora,per_node_highest_degree,gca,519,2,2,0,0
Cora,per_node_highest_degree,gca,525,2,1,-1,0
Cora,per_node_highest_degree,gca,565,4,6,2,1
Cora,per_node_highest_degree,gca,577,3,3,0,0
Cora,per_node_highest_degree,gca,598,1,1,0,0
Cora,per_node_highest_degree,gca,645,1,1,0,0
Cora,per_node_highest_degree,gca,657,3,11,8,1
Cora,per_node_highest_degree,gca,661,5,9,4,1
Cora,per_node_highest_degree,gca,687,6,14,8,1
Cora,per_node_highest_degree,gca,733,2,3,1,1
Cora,per_node_highest_degree,gca,734,2,2,0,0
Cora,per_node_highest_degree,gca,736,1,2,1,1
Cora,per_node_highest_degree,gca,748,3,1,-2,0
Cora,per_node_highest_degree,gca,756,8,8,0,0
Cora,per_node_highest_degree,gca,963,4,6,2,1
Cora,per_node_highest_degree,gca,973,1,1,0,0
Cora,per_node_highest_degree,gca,1013,5,5,0,0
Cora,per_node_highest_degree,gca,1015,14,7,-7,0
Cora,per_node_highest_degree,gca,1042,2,2,0,0
Cora,per_node_highest_degree,gca,1050,4,6,2,1
Cora,per_node_highest_degree,gca,1072,10,11,1,1
Cora,per_node_highest_degree,gca,1103,4,5,1,1
Cora,per_node_highest_degree,gca,1119,4,3,-1,0
Cora,per_node_highest_degree,gca,1131,1,1,0,0
Cora,per_node_highest_degree,gca,1154,2,3,1,1
Cora,per_node_highest_degree,gca,1169,2,1,-1,0
Cora,per_node_highest_degree,gca,1171,4,3,-1,0
Cora,per_node_highest_degree,gca,1224,1,1,0,0
Cora,per_node_highest_degree,gca,1229,2,1,-1,0
Cora,per_node_highest_degree,gca,1257,2,2,0,0
Cora,per_node_highest_degree,gca,1309,1,1,0,0
Cora,per_node_highest_degree,gca,1317,2,2,0,0
Cora,per_node_highest_degree,gca,1351,1,1,0,0
Cora,per_node_highest_degree,gca,1358,3,1,-2,0
Cora,per_node_highest_degree,gca,1367,2,20,18,1
Cora,per_node_highest_degree,gca,1413,6,3,-3,0
Cora,per_node_highest_degree,gca,1416,1,1,0,0
Cora,per_node_highest_degree,gca,1441,3,6,3,1
Cora,per_node_highest_degree,gca,1483,6,3,-3,0
Cora,per_node_highest_degree,gca,1505,3,3,0,0
Cora,per_node_highest_degree,gca,1542,3,1,-2,0
Cora,per_node_highest_degree,gca,1583,1,2,1,1
Cora,per_node_highest_degree,gca,1602,1,1,0,0
Cora,per_node_highest_degree,gca,1623,3,1,-2,0
Cora,per_node_highest_degree,gca,1624,1,1,0,0
Cora,per_node_highest_degree,gca,1628,1,1,0,0
Cora,per_node_highest_degree,gca,1655,1,1,0,0
Cora,per_node_highest_degree,gca,1682,1,2,1,1
Cora,per_node_highest_degree,gca,1692,1,1,0,0
Cora,per_node_highest_degree,gca,1701,6,1,-5,0
Cora,per_node_highest_degree,gca,1702,1,8,7,1
Cora,per_node_highest_degree,gca,1703,1,1,0,0
Cora,per_node_highest_degree,gca,1725,1,1,0,0
Cora,per_node_highest_degree,gca,1740,1,2,1,1
Cora,per_node_highest_degree,gca,1742,1,1,0,0
Cora,per_node_highest_degree,gca,1765,1,2,1,1
Cora,per_node_highest_degree,gca,1776,1,1,0,0
Cora,per_node_highest_degree,gca,1810,1,1,0,0
Cora,per_node_highest_degree,gca,1842,1,7,6,1
Cora,per_node_highest_degree,gca,1869,4,1,-3,0
Cora,per_node_highest_degree,gca,1894,1,1,0,0
Cora,per_node_highest_degree,gca,1902,3,5,2,1
Cora,per_node_highest_degree,gca,1912,1,1,0,0
Cora,per_node_highest_degree,gca,1914,1,1,0,0
