data_name,model_name,graph_model,node_id,retrieval_position,attack_position,delta,success_flag
Cora,per_node_targeted_node,gca,1103,4,7,3,1
Cora,per_node_targeted_node,gca,1119,4,4,0,0
Cora,per_node_targeted_node,gca,1131,1,1,0,0
Cora,per_node_targeted_node,gca,1154,2,3,1,1
Cora,per_node_targeted_node,gca,1169,2,1,-1,0
Cora,per_node_targeted_node,gca,1171,4,10,6,1
Cora,per_node_targeted_node,gca,1224,1,1,0,0
Cora,per_node_targeted_node,gca,1229,2,4,2,1
Cora,per_node_targeted_node,gca,1257,2,3,1,1
Cora,per_node_targeted_node,gca,1309,1,2,1,1
Cora,per_node_targeted_node,gca,1317,2,2,0,0
Cora,per_node_targeted_node,gca,1351,1,1,0,0
Cora,per_node_targeted_node,gca,1358,3,2,-1,0
Cora,per_node_targeted_node,gca,1367,2,11,9,1
Cora,per_node_targeted_node,gca,1413,6,5,-1,0
Cora,per_node_targeted_node,gca,1416,1,1,0,0
Cora,per_node_targeted_node,gca,1441,3,6,3,1
Cora,per_node_targeted_node,gca,1483,6,4,-2,0
Cora,per_node_targeted_node,gca,1505,3,1,-2,0
Cora,per_node_targeted_node,gca,1542,3,1,-2,0
Cora,per_node_targeted_node,gca,1583,1,1,0,0
Cora,per_node_targeted_node,gca,1602,1,2,1,1
Cora,per_node_targeted_node,gca,1623,3,1,-2,0
Cora,per_node_targeted_node,gca,1624,1,1,0,0
Cora,per_node_targeted_node,gca,1628,1,1,0,0
Cora,per_node_targeted_node,gca,1655,1,1,0,0
Cora,per_node_targeted_node,gca,1682,1,1,0,0
Cora,per_node_targeted_node,gca,1692,1,6,5,1
Cora,per_node_targeted_node,gca,1701,6,1,-5,0
Cora,per_node_targeted_node,gca,1702,1,2,1,1
Cora,per_node_targeted_node,gca,1703,1,1,0,0
Cora,per_node_targeted_node,gca,1725,1,1,0,0
Cora,per_node_targeted_node,gca,1740,1,2,1,1
Cora,per_node_targeted_node,gca,1742,1,2,1,1
Cora,per_node_targeted_node,gca,1765,1,1,0,0
Cora,per_node_targeted_node,gca,1776,1,1,0,0
Cora,per_node_targeted_node,gca,1810,1,1,0,0
Cora,per_node_targeted_node,gca,1842,1,6,5,1
Cora,per_node_targeted_node,gca,1869,4,1,-3,0
Cora,per_node_targeted_node,gca,1894,1,1,0,0
Cora,per_node_targeted_node,gca,1902,3,5,2,1
Cora,per_node_targeted_node,gca,1912,1,1,0,0
Cora,per_node_targeted_node,gca,1914,1,1,0,0
Cora,per_node_targeted_node,gca,1927,2,1,-1,0
Cora,per_node_targeted_node,gca,1950,9,9,0,0
Cora,per_node_targeted_node,gca,1952,3,3,0,0
Cora,per_node_targeted_node,gca,1966,2,2,0,0
Cora,per_node_targeted_node,gca,1973,1,1,0,0
Cora,per_node_targeted_node,gca,55,1,1,0,0
Cora,per_node_targeted_node,gca,59,1,1,0,0
Cora,per_node_targeted_node,gca,65,1,1,0,0
Cora,per_node_targeted_node,gca,73,3,2,-1,0
Cora,per_node_targeted_node,gca,88,1,1,0,0
Cora,per_node_targeted_node,gca,89,7,6,-1,0
Cora,per_node_targeted_node,gca,94,2,2,0,0
Cora,per_node_targeted_node,gca,95,1,1,0,0
Cora,per_node_targeted_node,gca,109,38,39,1,1
Cora,per_node_targeted_node,gca,118,1,1,0,0
Cora,per_node_targeted_node,gca,154,7,6,-1,0
Cora,per_node_targeted_node,gca,180,1,1,0,0
Cora,per_node_targeted_node,gca,210,2,4,2,1
Cora,per_node_targeted_node,gca,218,1,1,0,0
Cora,per_node_targeted_node,gca,236,1,1,0,0
Cora,per_node_targeted_node,gca,239,3,1,-2,0
Cora,per_node_targeted_node,gca,279,4,6,2,1
Cora,per_node_targeted_node,gca,306,15,7,-8,0
Cora,per_node_targeted_node,gca,310,3,1,-2,0
Cora,per_node_targeted_node,gca,316,1,1,0,0
Cora,per_node_targeted_node,gca,350,2,2,0,0
Cora,per_node_targeted_node,gca,364,1,1,0,0
Cora,per_node_targeted_node,gca,415,6,4,-2,0
Cora,per_node_targeted_node,gca,429,1,1,0,0
Cora,per_node_targeted_node,gca,436,1,1,0,0
Cora,per_node_targeted_node,gca,441,177,276,99,1
Cora,per_node_targeted_node,gca,454,1,1,0,0
Cora,per_node_targeted_node,gca,456,2,5,3,1
Cora,per_node_targeted_node,gca,487,1,1,0,0
Cora,per_node_targeted_node,gca,505,1,1,0,0
Cora,per_node_targeted_node,gca,507,3,3,0,0
Cora,per_node_targeted_node,gca,519,2,2,0,0
Cora,per_node_targeted_node,gca,525,2,1,-1,0
Cora,per_node_targeted_node,gca,565,4,5,1,1
Cora,per_node_targeted_node,gca,577,3,3,0,0
Cora,per_node_targeted_node,gca,598,1,1,0,0
Cora,per_node_targeted_node,gca,645,1,1,0,0
Cora,per_node_targeted_node,gca,657,3,8,5,1
Cora,per_node_targeted_node,gca,661,5,11,6,1
Cora,per_node_targeted_node,gca,687,6,4,-2,0
Cora,per_node_targeted_node,gca,733,2,3,1,1
Cora,per_node_targeted_node,gca,734,2,2,0,0
Cora,per_node_targeted_node,gca,736,1,1,0,0
Cora,per_node_targeted_node,gca,748,3,1,-2,0
Cora,per_node_targeted_node,gca,756,8,9,1,1
Cora,per_node_targeted_node,gca,963,4,1,-3,0
Cora,per_node_targeted_node,gca,973,1,1,0,0
Cora,per_node_targeted_node,gca,1013,5,5,0,0
Cora,per_node_targeted_node,gca,1015,14,21,7,1
Cora,per_node_targeted_node,gca,1042,2,2,0,0
Cora,per_node_targeted_node,gca,1050,4,6,2,1
Cora,per_node_targeted_node,gca,1072,10,5,-5,0
Cora,per_node_targeted_node,gca,1103,4,7,3,1
Cora,per_node_targeted_node,gca,1119,4,4,0,0
Cora,per_node_targeted_node,gca,1131,1,1,0,0
Cora,per_node_targeted_node,gca,1154,2,2,0,0
Cora,per_node_targeted_node,gca,1169,2,1,-1,0
Cora,per_node_targeted_node,gca,1171,4,23,19,1
Cora,per_node_targeted_node,gca,1224,1,1,0,0
Cora,per_node_targeted_node,gca,1229,2,4,2,1
Cora,per_node_targeted_node,gca,1257,2,4,2,1
Cora,per_node_targeted_node,gca,1309,1,2,1,1
Cora,per_node_targeted_node,gca,1317,2,2,0,0
Cora,per_node_targeted_node,gca,1351,1,1,0,0
Cora,per_node_targeted_node,gca,1358,3,1,-2,0
Cora,per_node_targeted_node,gca,1367,2,11,9,1
Cora,per_node_targeted_node,gca,1413,6,6,0,0
Cora,per_node_targeted_node,gca,1416,1,1,0,0
Cora,per_node_targeted_node,gca,1441,3,6,3,1
Cora,per_node_targeted_node,gca,1483,6,3,-3,0
Cora,per_node_targeted_node,gca,1505,3,1,-2,0
Cora,per_node_targeted_node,gca,1542,3,1,-2,0
Cora,per_node_targeted_node,gca,1583,1,1,0,0
Cora,per_node_targeted_node,gca,1602,1,1,0,0
Cora,per_node_targeted_node,gca,1623,3,1,-2,0
Cora,per_node_targeted_node,gca,1624,1,1,0,0
Cora,per_node_targeted_node,gca,1628,1,1,0,0
Cora,per_node_targeted_node,gca,1655,1,1,0,0
Cora,per_node_targeted_node,gca,1682,1,1,0,0
Cora,per_node_targeted_node,gca,1692,1,4,3,1
Cora,per_node_targeted_node,gca,1701,6,1,-5,0
Cora,per_node_targeted_node,gca,1702,1,5,4,1
Cora,per_node_targeted_node,gca,1703,1,1,0,0
Cora,per_node_targeted_node,gca,1725,1,1,0,0
Cora,per_node_targeted_node,gca,1740,1,2,1,1
Cora,per_node_targeted_node,gca,1742,1,1,0,0
Cora,per_node_targeted_node,gca,1765,1,2,1,1
Cora,per_node_targeted_node,gca,1776,1,1,0,0
Cora,per_node_targeted_node,gca,1810,1,1,0,0
Cora,per_node_targeted_node,gca,1842,1,5,4,1
Cora,per_node_targeted_node,gca,1869,4,1,-3,0
Cora,per_node_targeted_node,gca,1894,1,1,0,0
Cora,per_node_targeted_node,gca,1902,3,6,3,1
Cora,per_node_targeted_node,gca,1912,1,1,0,0
Cora,per_node_targeted_node,gca,1914,1,1,0,0
Cora,per_node_targeted_node,gca,1927,2,1,-1,0
Cora,per_node_targeted_node,gca,1950,9,8,-1,0
Cora,per_node_targeted_node,gca,1952,3,3,0,0
Cora,per_node_targeted_node,gca,1966,2,3,1,1
Cora,per_node_targeted_node,gca,1973,1,1,0,0
Cora,per_node_targeted_node,gca,55,1,1,0,0
Cora,per_node_targeted_node,gca,59,1,1,0,0
Cora,per_node_targeted_node,gca,65,1,1,0,0
Cora,per_node_targeted_node,gca,73,3,3,0,0
Cora,per_node_targeted_node,gca,88,1,1,0,0
Cora,per_node_targeted_node,gca,89,7,11,4,1
Cora,per_node_targeted_node,gca,94,2,2,0,0
Cora,per_node_targeted_node,gca,95,1,1,0,0
Cora,per_node_targeted_node,gca,109,38,39,1,1
Cora,per_node_targeted_node,gca,118,1,1,0,0
Cora,per_node_targeted_node,gca,154,7,6,-1,0
Cora,per_node_targeted_node,gca,180,1,1,0,0
Cora,per_node_targeted_node,gca,210,2,7,5,1
Cora,per_node_targeted_node,gca,218,1,1,0,0
Cora,per_node_targeted_node,gca,236,1,1,0,0
Cora,per_node_targeted_node,gca,239,3,1,-2,0
Cora,per_node_targeted_node,gca,279,4,6,2,1
Cora,per_node_targeted_node,gca,306,15,7,-8,0
Cora,per_node_targeted_node,gca,310,3,1,-2,0
Cora,per_node_targeted_node,gca,316,1,4,3,1
Cora,per_node_targeted_node,gca,350,2,4,2,1
Cora,per_node_targeted_node,gca,364,1,2,1,1
Cora,per_node_targeted_node,gca,415,6,4,-2,0
Cora,per_node_targeted_node,gca,429,1,1,0,0
Cora,per_node_targeted_node,gca,436,1,1,0,0
Cora,per_node_targeted_node,gca,441,177,284,107,1
Cora,per_node_targeted_node,gca,454,1,1,0,0
Cora,per_node_targeted_node,gca,456,2,5,3,1
Cora,per_node_targeted_node,gca,487,1,1,0,0
Cora,per_node_targeted_node,gca,505,1,1,0,0
Cora,per_node_targeted_node,gca,507,3,3,0,0
Cora,per_node_targeted_node,gca,519,2,1,-1,0
Cora,per_node_targeted_node,gca,525,2,1,-1,0
Cora,per_node_targeted_node,gca,565,4,5,1,1
Cora,per_node_targeted_node,gca,577,3,3,0,0
Cora,per_node_targeted_node,gca,598,1,1,0,0
Cora,per_node_targeted_node,gca,645,1,1,0,0
Cora,per_node_targeted_node,gca,657,3,8,5,1
Cora,per_node_targeted_node,gca,661,5,9,4,1
Cora,per_node_targeted_node,gca,687,6,2,-4,0
Cora,per_node_targeted_node,gca,733,2,3,1,1
Cora,per_node_targeted_node,gca,734,2,2,0,0
Cora,per_node_targeted_node,gca,736,1,1,0,0
Cora,per_node_targeted_node,gca,748,3,1,-2,0
Cora,per_node_targeted_node,gca,756,8,8,0,0
Cora,per_node_targeted_node,gca,963,4,5,1,1
Cora,per_node_targeted_node,gca,973,1,1,0,0
Cora,per_node_targeted_node,gca,1013,5,7,2,1
Cora,per_node_targeted_node,gca,1015,14,19,5,1
Cora,per_node_targeted_node,gca,1042,2,2,0,0
Cora,per_node_targeted_node,gca,1050,4,6,2,1
Cora,per_node_targeted_node,gca,1072,10,5,-5,0
Cora,per_node_targeted_node,gca,1103,4,7,3,1
Cora,per_node_targeted_node,gca,1119,4,4,0,0
Cora,per_node_targeted_node,gca,1131,1,1,0,0
Cora,per_node_targeted_node,gca,1154,2,2,0,0
Cora,per_node_targeted_node,gca,1169,2,1,-1,0
Cora,per_node_targeted_node,gca,1171,4,22,18,1
Cora,per_node_targeted_node,gca,1224,1,1,0,0
Cora,per_node_targeted_node,gca,1229,2,5,3,1
Cora,per_node_targeted_node,gca,1257,2,3,1,1
Cora,per_node_targeted_node,gca,1309,1,2,1,1
Cora,per_node_targeted_node,gca,1317,2,2,0,0
Cora,per_node_targeted_node,gca,1351,1,1,0,0
Cora,per_node_targeted_node,gca,1358,3,1,-2,0
Cora,per_node_targeted_node,gca,1367,2,12,10,1
Cora,per_node_targeted_node,gca,1413,6,9,3,1
Cora,per_node_targeted_node,gca,1416,1,1,0,0
Cora,per_node_targeted_node,gca,1441,3,5,2,1
Cora,per_node_targeted_node,gca,1483,6,3,-3,0
Cora,per_node_targeted_node,gca,1505,3,1,-2,0
Cora,per_node_targeted_node,gca,1542,3,1,-2,0
Cora,per_node_targeted_node,gca,1583,1,2,1,1
Cora,per_node_targeted_node,gca,1602,1,2,1,1
Cora,per_node_targeted_node,gca,1623,3,1,-2,0
Cora,per_node_targeted_node,gca,1624,1,1,0,0
Cora,per_node_targeted_node,gca,1628,1,1,0,0
Cora,per_node_targeted_node,gca,1655,1,1,0,0
Cora,per_node_targeted_node,gca,1682,1,2,1,1
Cora,per_node_targeted_node,gca,1692,1,6,5,1
Cora,per_node_targeted_node,gca,1701,6,1,-5,0
Cora,per_node_targeted_node,gca,1702,1,5,4,1
Cora,per_node_targeted_node,gca,1703,1,1,0,0
Cora,per_node_targeted_node,gca,1725,1,1,0,0
Cora,per_node_targeted_node,gca,1740,1,2,1,1
Cora,per_node_targeted_node,gca,1742,1,1,0,0
Cora,per_node_targeted_node,gca,1765,1,2,1,1
Cora,per_node_targeted_node,gca,1776,1,1,0,0
Cora,per_node_targeted_node,gca,1810,1,1,0,0
Cora,per_node_targeted_node,gca,1842,1,6,5,1
Cora,per_node_targeted_node,gca,1869,4,1,-3,0
Cora,per_node_targeted_node,gca,1894,1,1,0,0
Cora,per_node_targeted_node,gca,1902,3,7,4,1
Cora,per_node_targeted_node,gca,1912,1,1,0,0
Cora,per_node_targeted_node,gca,1914,1,1,0,0
Cora,per_node_targeted_node,gca,1927,2,1,-1,0
